,legislatura,nome_parlamentar,sigla_partido,acoes
160,56,TONINHO WANDSCHEER,PROS,3
24,56,VANDERLEI MACRIS,PSDB,3
366,56,CHRIS TONIETTO,PSL,3
53,56,PATRUS ANANIAS,PT,3
31,56,BIRA DO PINDARÉ,PSB,3
41,56,JOÃO CARLOS BACELAR,PR,3
35,56,TEREZA NELMA,PSDB,3
380,56,MARCO BERTAIOLLI,PSD,3
342,56,CARLOS VERAS,PT,3
25,56,PAULO MAGALHÃES,PSD,4
51,56,WELLINGTON ROBERTO,PR,4
309,56,EDUARDO BISMARCK,PDT,4
322,56,EVANDRO ROMAN,PSD,4
98,56,LUCIANO DUCCI,PSB,4
249,56,ROBERTO PESSOA,PSDB,4
318,56,ZECA DIRCEU,PT,4
287,56,JÚLIO DELGADO,PSB,4
79,56,VINICIUS POIT,NOVO,4
377,56,ALEX MANENTE,Cidadania,4
252,56,CÉLIO MOURA,PT,4
281,56,WELITON PRADO,PROS,4
86,56,MARIANA CARVALHO,PSDB,4
16,56,ÁUREA CAROLINA,PSOL,4
268,56,MARIA ROSAS,PRB,4
335,56,GIOVANI FELTES,MDB,4
349,56,ACÁCIO FAVACHO,PROS,4
147,56,AFONSO FLORENCE,PT,4
333,56,MARCELO NILO,PSB,4
207,56,JOSÉ RICARDO,PT,4
151,56,SUBTENENTE GONZAGA,PDT,4
205,56,CHARLLES EVANGELISTA,PSL,4
239,56,GLAUBER BRAGA,PSOL,4
153,56,MARCELO RAMOS,PR,4
347,56,ROBERTO ALVES,PRB,4
157,56,ALUISIO MENDES,Podemos,4
344,56,MIGUEL LOMBARDI,PR,4
198,56,PAULO PEREIRA DA SILVA,Solidariedade,4
197,56,PEDRO LUPION,DEM,4
193,56,CAPITÃO ALBERTO NETO,PRB,4
177,56,CABO JUNIO AMARAL,PSL,4
178,56,HERCULANO PASSOS,MDB,4
351,56,ROSANA VALLE,PSB,4
144,56,ALIEL MACHADO,PSB,4
299,56,CAPITÃO AUGUSTO,PR,4
232,56,EMANUEL PINHEIRO NETO,PTB,4
136,56,LÉO MORAES,Podemos,4
331,56,PEDRO UCZAI,PT,4
125,56,MARÍLIA ARRAES,PT,4
142,56,BOHN GASS,PT,5
382,56,LUIZA ERUNDINA,PSOL,5
195,56,MAJOR FABIANA,PSL,5
194,56,FÁBIO MITIDIERI,PSD,5
190,56,ROBERTO DE LUCENA,Podemos,5
386,56,BRUNA FURLAN,PSDB,5
188,56,JORGE SOLLA,PT,5
176,56,JOÃO MAIA,PR,5
231,56,FLORDELIS,PSD,5
303,56,DANIEL COELHO,Cidadania,5
293,56,ASSIS CARVALHO,PT,5
233,56,DELEGADO ANTÔNIO FURTADO,PSL,5
235,56,MAURÍCIO DZIEDRICKI,PTB,5
5,56,SILVIA CRISTINA,PDT,5
397,56,RUI FALCÃO,PT,5
388,56,PEDRO CUNHA LIMA,PSDB,5
29,56,PASTOR EURICO,Patriota,5
93,56,MARCELO ARO,Progressistas,5
112,56,VERMELHO,PSD,5
314,56,ALÊ SILVA,PSL,5
217,56,HUGO LEAL,PSD,5
69,56,SERGIO VIDIGAL,PDT,5
66,56,EDUARDO CURY,PSDB,5
254,56,EDUARDO BRAIDE,PMN,5
219,56,POLICIAL KATIA SASTRE,PR,5
