,legislatura,nome_parlamentar,sigla_partido,acoes
105,56,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,PSL,3
218,56,IGOR KANNÁRIO,PHS,3
29,56,WELLINGTON ROBERTO,PR,4
304,56,LUCIANO DUCCI,PSB,4
137,56,EMANUEL PINHEIRO NETO,PTB,4
176,56,JÚLIO DELGADO,PSB,4
83,56,LÉO MORAES,Podemos,4
129,56,JOSÉ RICARDO,PT,4
93,56,AFONSO FLORENCE,PT,4
126,56,CHARLLES EVANGELISTA,PSL,4
290,56,VINICIUS POIT,NOVO,4
45,56,PEREIRA DA SILVA,,4
393,56,CÉLIO MOURA,PT,4
457,56,PAULO PEREIRA,PL,4
94,56,SUBTENENTE GONZAGA,PDT,4
426,56,MOURA,,4
123,56,PAULO PEREIRA DA SILVA,Solidariedade,4
438,56,MIGUEL LOMBARDI,PR,4
320,56,PINHEIRO,,4
228,56,ALEX MANENTE,Cidadania,4
149,56,ROBERTO PESSOA,PSDB,4
324,56,MARÍLIA ARRAES,PT,4
415,56,CAPITÃO AUGUSTO,PR,4
13,56,PAULO MAGALHÃES,PSD,4
331,56,ALIEL MACHADO,PSB,4
162,56,MARIA ROSAS,PRB,4
336,56,MARCELO RAMOS,PR,4
338,56,ALUISIO MENDES,Podemos,4
100,56,CABO JUNIO AMARAL,PSL,4
347,56,PEREIRA DA SILVA,PSD,4
359,56,CAPITÃO ALBERTO NETO,PRB,4
190,56,EDUARDO BISMARCK,PDT,4
296,56,MARIANA CARVALHO,PSDB,4
408,56,WELITON PRADO,PROS,4
444,56,ROSANA VALLE,PSB,4
443,56,ACÁCIO FAVACHO,PROS,4
253,56,MACHADO,,4
209,56,EMANUEL PINHEIRO,,4
257,56,ÁUREA CAROLINA,PSOL,4
208,56,GIOVANI FELTES,MDB,4
114,56,HERCULANO PASSOS,MDB,4
205,56,PEDRO UCZAI,PT,4
434,56,MARCELO NILO,PSB,4
385,56,GLAUBER BRAGA,PSOL,4
196,56,ZECA DIRCEU,PT,4
199,56,EVANDRO ROMAN,PSD,4
121,56,PEDRO LUPION,DEM,4
441,56,ROBERTO ALVES,PRB,4
403,56,FÁBIO HENRIQUE,PDT,5
42,56,EDUARDO CURY,PSDB,5
377,56,FLORDELIS,PSD,5
167,56,ENIO VERRI,PT,5
378,56,DELEGADO ANTÔNIO FURTADO,PSL,5
43,56,BEZERRA,,5
356,56,ROBERTO DE LUCENA,Podemos,5
355,56,JORGE SOLLA,PT,5
379,56,MAURÍCIO DZIEDRICKI,PTB,5
349,56,CUNHA,,5
14,56,PASTOR EURICO,Patriota,5
39,56,JOÃO MAIA,DEM,5
113,56,JOÃO MAIA,PR,5
249,56,SILVIA CRISTINA,PDT,5
417,56,ALÊ SILVA,PSL,5
120,56,MAJOR FABIANA,PSL,5
419,56,DANIEL COELHO,Cidadania,5
394,56,EDUARDO BRAIDE,PMN,5
159,56,ASSIS,,5
44,56,SERGIO VIDIGAL,PDT,5
164,56,NOGUEIRA,,5
235,56,BRUNA FURLAN,PSDB,5
241,56,RUI FALCÃO,PT,5
182,56,ASSIS CARVALHO,PT,5
87,56,BOHN GASS,PT,5
201,56,FLAVIO NOGUEIRA,PDT,5
134,56,DR. FREDERICO,Patriota,5
233,56,PEDRO CUNHA LIMA,PSDB,5
301,56,MARCELO ARO,Progressistas,5
372,56,POLICIAL KATIA SASTRE,PR,5
358,56,FÁBIO MITIDIERI,PSD,5
63,56,CUNHA LIMA,,5
270,56,VALTENIR PEREIRA,MDB,5
428,56,FERNANDO MONTEIRO,Progressistas,5
361,56,JOÃO ROMA,PRB,5
309,56,CUNHA LIMA,PPB,5
65,56,VERMELHO,PSD,5
312,56,JOÃO ROMA,,5
232,56,LUIZA ERUNDINA,PSOL,5
367,56,HUGO LEAL,PSD,5
66,56,DANIEL TRZECIAK,PSDB,5
362,56,ADRIAN,MDB,5
203,56,NICOLETTI,PSL,5
466,56,JOSÉ MEDEIROS,Podemos,6
360,56,CELINA LEÃO,Progressistas,6
449,56,WOLNEY QUEIROZ,PDT,6
423,56,TADEU ALENCAR,PSB,6
348,56,DELEGADO PABLO,PSL,6
0,56,MEDEIROS,PR,6
163,56,CAMILO CAPIBERIBE,PSB,6
166,56,DOMINGOS SÁVIO,PSDB,6
263,56,MAURO NAZIF,PSB,6
154,56,LEMOS,,6
306,56,BETO ROSADO,Progressistas,6
19,56,PROFESSORA MARCIVANIA,PCdoB,6
330,56,OTTO ALENCAR FILHO,PSD,6
326,56,GURGEL,PSL,6
25,56,JOÃO CARLOS BACELAR,PR,6
295,56,FELIPE FRANCISCHINI,PSL,6
116,56,RODRIGO AGOSTINHO,PSB,6
315,56,OTONI,,6
344,56,FELIPE CARRERAS,PSB,6
96,56,ZÉ NETO,PT,7
119,56,MAIA,,7
414,56,CORONEL TADEU,PSL,7
165,56,ALEXANDRE PADILHA,PT,7
140,56,JULIO CESAR RIBEIRO,PRB,7
141,56,AIRTON FALEIRO,PT,7
215,56,HELDER SALOMÃO,PT,7
88,56,SILVIO COSTA FILHO,PRB,7
101,56,WALDENOR PEREIRA,PT,7
247,56,MARRECA FILHO,Patriota,7
364,56,JOSÉ NELTO,Podemos,7
308,56,PERPÉTUA ALMEIDA,PCdoB,7
390,56,AMARO NETO,PRB,7
409,56,JANDIRA FEGHALI,PCdoB,7
17,56,SILVIO COSTA,Avante,7
464,56,ZÉ VITOR,PR,7
238,56,TALÍRIA PETRONE,PSOL,7
406,56,DR. LUIZ OVANDO,PSL,7
281,56,JOENIA WAPICHANA,REDE,7
54,56,MARCELO CALERO,Cidadania,7
192,56,CHICO D'ANGELO,PDT,8
